type,trial,epoch,step,batch,train_loss,lr,step_ms,step_timing,family,label,train_acc,val_loss,val_acc,best_val_acc,best_val_loss,examples_per_sec,max_memory_mb,progress,interval_examples_per_sec,interval_avg_step_ms,overall_examples_per_sec,elapsed_wall_sec,opt_matrix_count,opt_fallback_count,opt_group_count,opt_soda_weight,opt_step,opt_lr,opt_beta,opt_params,opt_matrix_params,opt_gram_params,opt_mimuon_params,opt_normuon_params,opt_normuon_aspect_params,opt_sync_diagnostics
epoch,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,10,957,,1.0031233512122055,,,cuda_synchronized,adamw,AdamW cosine,63.81555316091954,0.924626148891449,66.8,66.8,0.924626148891449,35738.80464957643,1124.625,,,,,,,,,,,,,,,,,,,
step,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,11,975,18.0,0.9415163993835449,0.0036236577790152063,10.245002107694745,cuda_synchronized,adamw,AdamW cosine,,,,,,,,,,,,,,,,,,,,,,,,,,
step,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,11,1000,43.0,0.9099000096321106,0.0036031586405644244,11.015422991476953,cuda_synchronized,adamw,AdamW cosine,,,,,,,,,,,,,,,,,,,,,,,,,,
step,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,11,1025,68.0,0.9055932760238647,0.00358218480286588,10.234044981189072,cuda_synchronized,adamw,AdamW cosine,,,,,,,,,,,,,,,,,,,,,,,,,,
epoch,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,11,1044,,0.9678284409402431,,,cuda_synchronized,adamw,AdamW cosine,65.09069683908046,0.9264403325080871,66.74,66.8,0.924626148891449,42551.46635718737,1124.625,,,,,,,,,,,,,,,,,,,
step,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,12,1050,6.0,0.9415003657341003,0.0035607433615285015,11.91231794655323,cuda_synchronized,adamw,AdamW cosine,,,,,,,,,,,,,,,,,,,,,,,,,,
step,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,12,1075,31.0,0.973268985748291,0.0035388415703550874,12.155606993474066,cuda_synchronized,adamw,AdamW cosine,,,,,,,,,,,,,,,,,,,,,,,,,,
bin,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,12,1088,,1.0496056131361162,,,cuda_synchronized,adamw,AdamW cosine,,0.9049474038124085,66.94,66.94,0.9049474038124085,,1124.625,0.2501149425287356,36007.41950977228,11.945660966696725,41999.696580570446,15.917643554974347,,,,,,,,,,,,,,
step,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,12,1100,56.0,0.988913357257843,0.0035164868388882897,10.53257891908288,cuda_synchronized,adamw,AdamW cosine,,,,,,,,,,,,,,,,,,,,,,,,,,
step,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,12,1125,81.0,0.9518998265266418,0.0034936867299039083,11.13233098294586,cuda_synchronized,adamw,AdamW cosine,,,,,,,,,,,,,,,,,,,,,,,,,,
epoch,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,12,1131,,0.9351985112003897,,,cuda_synchronized,adamw,AdamW cosine,66.19971264367815,0.8720018311500549,68.32,68.32,0.8720018311500549,36758.94115048591,1124.625,,,,,,,,,,,,,,,,,,,
step,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,13,1150,19.0,0.9071484208106995,0.003470448956852349,11.672882945276797,cuda_synchronized,adamw,AdamW cosine,,,,,,,,,,,,,,,,,,,,,,,,,,
step,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,13,1175,44.0,0.9573268890380859,0.0034467813812491008,12.266015983186662,cuda_synchronized,adamw,AdamW cosine,,,,,,,,,,,,,,,,,,,,,,,,,,
step,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,13,1200,69.0,0.8921927213668823,0.0034226920100151274,10.125871049240232,cuda_synchronized,adamw,AdamW cosine,,,,,,,,,,,,,,,,,,,,,,,,,,
epoch,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,13,1218,,0.9048465915109919,,,cuda_synchronized,adamw,AdamW cosine,67.30872844827586,0.8445912485122681,69.76,69.76,0.8445912485122681,39883.92273949892,1124.625,,,,,,,,,,,,,,,,,,,
step,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,14,1225,7.0,0.8793221116065979,0.0033981889927680664,12.768639950081706,cuda_synchronized,adamw,AdamW cosine,,,,,,,,,,,,,,,,,,,,,,,,,,
step,final_adamw_adamw_cosine_lr0.004_wd0.001_seed131415,14,1250,32.0,0.9226338863372803,0.003373280619065148,10.981051018461585,cuda_synchronized,adamw,AdamW cosine,,,,,,,,,,,,,,,,,,,,,,,,,,
