batch,best_val_accuracy,best_val_loss,elapsed_s,epoch,event,examples_per_s_interval,mean_step_s_interval,overall_examples_per_s,progress,step,train_loss,train_loss_interval,trial,val_accuracy,val_loss
4,,,,35,step,,,,,3400,0.2715176045894623,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
7,,,,36,step,,,,,3500,0.26473158597946167,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
10,,,,37,step,,,,,3600,0.2543909251689911,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
,0.8695,0.39769871368408205,130.6024991919985,38,bin,14463.81267532615,0.0344597381172177,14689.011893986364,0.7501030927835052,3638,,0.30885655814674384,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,0.8695,0.39769871368408205
13,,,,38,step,,,,,3700,0.23542028665542603,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
16,,,,39,step,,,,,3800,0.27554255723953247,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
19,,,,40,step,,,,,3900,0.24766039848327637,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
22,,,,41,step,,,,,4000,0.2170870155096054,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
25,,,,42,step,,,,,4100,0.2834826707839966,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
28,,,,43,step,,,,,4200,0.19827592372894287,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
,0.8695,0.39769871368408205,151.93082910997327,44,bin,14547.484806555987,0.03426334727324988,14724.76044874861,0.8750515463917525,4244,,0.2697729128274587,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,0.8648,0.41838708953857423
31,,,,44,step,,,,,4300,0.28773218393325806,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
34,,,,45,step,,,,,4400,0.2226300835609436,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
37,,,,46,step,,,,,4500,0.26527297496795654,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
40,,,,47,step,,,,,4600,0.2579076290130615,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
43,,,,48,step,,,,,4700,0.21415072679519653,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
46,,,,49,step,,,,,4800,0.24283479154109955,,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
,0.8695,0.39769871368408205,173.16204036900308,50,bin,14614.0377363746,0.03410894503312112,14759.894232814762,1.0,4850,,0.23963847338366429,orientation_aspect_mlr0.008_rg0.4_cg0.05_nb0.93,0.8643,0.42599895477294925
2,,,,1,step,,,,,100,1.3669967651367188,,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
5,,,,2,step,,,,,200,1.292579174041748,,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
8,,,,3,step,,,,,300,1.2199945449829102,,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
11,,,,4,step,,,,,400,1.055908441543579,,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
14,,,,5,step,,,,,500,1.0347824096679688,,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
17,,,,6,step,,,,,600,0.8420709371566772,,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,,
,0.6812,0.9133995758056641,22.022919600014575,7,bin,14088.669337403273,0.03482897371275,14700.404445525475,0.12494845360824743,606,,1.2582899305489983,orientation_noaspect_mlr0.008_rg0.4_cg0.05_nb0.93,0.6812,0.9133995758056641
